,Year,Manufacturer,Model,barrels08,charge240,city08U,cityCD,cityE,cityUF,co2,comb08U,combE,combinedCD,combinedUF,cylinders,feScore,fuelCost08,fuelType1,ghgScore,highway08U,highwayCD,highwayE,highwayUF,id,phevBlended,charge240b
0,2016,Infiniti,Q50S Red Sport,13.52318182,0.0,19.0,0.0,0.0,0.0,402.0,22.0,0.0,0.0,0.0,6.0,5,2950.0,Premium Gasoline,5,26.0,0.0,0.0,0.0,37348,False,0.0
1,2017,Ford,Fusion FWD,11.01888889,0.0,23.0,0.0,0.0,0.0,328.0,27.0,0.0,0.0,0.0,4.0,6,1950.0,Regular Gasoline,6,33.0,0.0,0.0,0.0,37382,False,0.0
2,2017,Kia,Rio,9.597096774,0.0,26.0,0.0,0.0,0.0,287.0,30.0,0.0,0.0,0.0,4.0,7,1700.0,Regular Gasoline,7,36.0,0.0,0.0,0.0,37414,False,0.0
3,2016,Infiniti,Q50 AWD,13.52318182,0.0,19.0,0.0,0.0,0.0,406.0,22.0,0.0,0.0,0.0,6.0,5,2950.0,Premium Gasoline,5,27.0,0.0,0.0,0.0,37420,False,0.0
4,2017,Subaru,Legacy AWD,12.93521739,0.0,19.0,0.0,0.0,0.0,387.0,22.0,0.0,0.0,0.0,6.0,5,2300.0,Regular Gasoline,5,28.0,0.0,0.0,0.0,37430,False,0.0
5,2016,Volkswagen,Beetle Dune,11.01888889,0.0,24.0,0.0,0.0,0.0,329.0,27.0,0.0,0.0,0.0,4.0,6,1950.0,Regular Gasoline,6,31.0,0.0,0.0,0.0,37467,False,0.0
6,2017,Rolls-Royce,Phantom Coupe,21.25071429,0.0,11.0,0.0,0.0,0.0,638.0,13.0,0.0,0.0,0.0,12.0,1,4650.0,Premium Gasoline,1,18.0,0.0,0.0,0.0,37486,False,0.0
7,2017,Jaguar,XF,12.93521739,0.0,20.0,0.0,0.0,0.0,377.0,23.0,0.0,0.0,0.0,6.0,5,2850.0,Premium Gasoline,5,29.0,0.0,0.0,0.0,37490,False,0.0
8,2017,Volvo,S60 AWD,11.44269231,0.0,22.0,0.0,0.0,0.0,343.0,25.0,0.0,0.0,0.0,4.0,6,2050.0,Regular Gasoline,6,31.0,0.0,0.0,0.0,37553,False,0.0
9,2017,Kia,Forte,9.2971875,0.0,28.0,0.0,0.0,0.0,301.0,32.0,0.0,0.0,0.0,4.0,7,1650.0,Regular Gasoline,7,37.0,0.0,0.0,0.0,37555,False,0.0
